N,threads,tempo
1,2,0.0503376
1,3,0.0675669
1,5,0.382242
1,9,1.5734
1,3,0.152854
1,5,1.16811
1,9,2.32265
10,2,0.161645
10,3,0.102082
10,5,0.177142
10,9,0.321361
10,3,0.278242
10,5,0.302966
10,9,0.483778
100,2,0.172649
100,3,0.109033
100,5,0.164985
100,9,0.255116
100,3,0.234332
100,5,0.267305
100,9,0.409716
1000,2,0.161688
1000,3,0.0963706
1000,5,0.150701
1000,9,0.284111
1000,3,0.2319
1000,5,0.262516
1000,9,0.399039
