N,threads,tempo
1,2,0.0557218
1,3,0.0846195
1,5,0.573681
1,9,2.41491
1,3,0.218846
1,5,1.39464
1,9,1.69686
10,2,0.161327
10,3,0.124868
10,5,0.207525
10,9,0.460592
10,3,0.331205
10,5,0.339532
10,9,0.512888
100,2,0.177861
100,3,0.128412
100,5,0.198306
100,9,0.334521
100,3,0.267922
100,5,0.331362
100,9,0.467786
1000,2,0.173384
1000,3,0.129652
1000,5,0.184994
1000,9,0.322646
1000,3,0.266322
1000,5,0.30886
1000,9,0.421653
